"record_id"	"batch_id"	"path"	"sha256"	"bytes"	"inventory_snapshot_git_status"	"effective_snapshot_git_status"	"inventory_material_role"	"document_class"	"source_type"	"current_applicability"	"history_or_derivation"	"approval_named_authorizer"	"approval_date"	"approval_scope"	"approval_version_binding"	"document_approval_state"	"atomic_requirement_extraction_route"	"evidence_or_conflict_pointers"	"investigation_pointer"
"R11-01"	"R11"	"mes/analysis/README.md"	"dfcf58e4228083b811eb9670e0e897efb3f648ec93581645892a1d254a7bf4a7"	"1309"	"tracked-clean"	"tracked-clean"	"candidate-data-constraint"	"R11-D/E"	"internal-offline-analysis-entry-and-current-state-evidence"	"Current-project offline PACKAGE coverage tooling only; does not prove capacity correctness or PACKAGE completeness."	"Formed in 5718541 as an internal Python-standard-library analysis entry."	"not-found"	"not-found"	"not-found"	"not-found"	"not-approved-by-this-classification"	"do-not-extract-as-requirement; retain-as-offline-analysis-and-current-state-evidence"	"Preserve input/output boundaries and the rule that analysis results describe only the supplied snapshot."	"R11-mes-data-query-validation-constraints.md; section=逐文件调查台账"
"R11-02"	"R11"	"mes/catalog/queries.md"	"1a52a46a3fd689c74a3cf481897d824ac2eb64277500b1e7fb99fec36ee4be80"	"2022"	"tracked-clean"	"tracked-clean"	"candidate-data-constraint"	"R11-I"	"internal-query-catalog-and-navigation-index"	"Current repository QUERY_ID and SSOT navigation; last-evidence fields are stale and do not establish validation status."	"Formed in 5718541; ffe1f49 added the sixth task type."	"not-found"	"not-found"	"not-found"	"not-found"	"not-approved-by-this-classification"	"do-not-extract-from-this-document"	"Retain QUERY_ID/source pointers; bind any future evidence to run_id and SQL hash instead of catalog wording."	"R11-mes-data-query-validation-constraints.md; section=逐文件调查台账"
"R11-03"	"R11"	"mes/docs/工厂首轮执行与回传清单.md"	"8305057b5f665d02b4891d88d3cf66afcc9b9f141757a19f7339c35bc91447fa"	"6142"	"untracked"	"tracked-clean"	"candidate-acceptance"	"R11-A/E"	"mixed-factory-acceptance-plan-and-limited-run-summary"	"Candidate acceptance conditions plus summaries of three 2026-07-24 runs; valid only for their SQL, environment and data time."	"Formed in 5718541; ffe1f49 changed five branches to six, removed approval/hash requirements and backfilled observed results."	"not-found"	"not-found"	"not-found"	"not-found"	"not-approved-by-this-classification"	"candidate-only-after-acceptance-condition-level-decomposition-run-evidence-review-and-explicit-approval"	"Preserve approval-versus-integrity rule conflict, run manifests, incomplete PACKAGE coverage and ticket 30 decision boundary."	"R11-mes-data-query-validation-constraints.md; section=逐文件调查台账"
"R11-04"	"R11"	"mes/queries/mes-task-union/README.md"	"e8b7ed1c34d7d541f2833fc66a34a361c3ba818fa9b6df0daf36e93268d255f0"	"1406"	"tracked-clean"	"tracked-clean"	"candidate-data-constraint"	"R11-X/D/A"	"mixed-external-data-candidate-derived-query-design-and-behavior"	"Potential six-task Oracle data contract mixed with unified-column, UNION ALL, filtering and idempotency design."	"Formed in 5718541 from customer SQL snapshots; ffe1f49 added WIRE_TO_NITROGEN."	"not-found"	"not-found"	"not-found"	"not-found"	"not-approved-by-this-classification"	"candidate-only-after-separating-external-fields-filters-query-design-and-behavior-source-review-and-explicit-approval"	"Retain six source snapshot pointers, SQL hashes, environment scope and quality/performance run limits."	"R11-mes-data-query-validation-constraints.md; section=逐文件调查台账"
"R11-05"	"R11"	"mes/queries/operator-identity/README.md"	"6a99258034b5be9d85d064258c896a709de30f49ac86e893917d83be814abcdc"	"986"	"tracked-clean"	"tracked-clean"	"candidate-data-constraint"	"R11-X/D/A"	"mixed-external-identity-query-candidate-and-product-boundary"	"Potential operator identity data contract mixed with no-result session behavior and the boundary that identity is not role authorization."	"Formed in 5718541 from a stated 2026-07-16 customer-source snapshot; no independent run or approval binding."	"not-found"	"not-found"	"not-found"	"not-found"	"not-approved-by-this-classification"	"candidate-only-after-separating-external-fields-identity-behavior-privacy-and-authorization-boundary-explicit-approval"	"Retain source SQL pointer; require duplicate/no-result/timeout, privacy and authorization evidence separately."	"R11-mes-data-query-validation-constraints.md; section=逐文件调查台账"
"R11-06"	"R11"	"mes/queries/schema-introspection/README.md"	"a3ae14c569b25bddacfbc46819733ad024ffa1826b30c138ad34a48634efdc31"	"1012"	"tracked-clean"	"tracked-clean"	"candidate-data-constraint"	"R11-D/E"	"internal-oracle-schema-introspection-design"	"Internal validation-query shape; only an actual bound run can evidence a specific database, Schema, user and time."	"Formed in 5718541 for five types; 493ac5a expanded it to six."	"not-found"	"not-found"	"not-found"	"not-found"	"not-approved-by-this-classification"	"do-not-extract-as-requirement; retain-as-validation-design-and-future-current-state-evidence-pointer"	"Do not infer business value ranges from declared lengths or sample maxima; preserve missing independent run."	"R11-mes-data-query-validation-constraints.md; section=逐文件调查台账"
"R11-07"	"R11"	"mes/queries/sublot-box-count/README.md"	"486802d634605a446aedd46e6f14b5ca77dd2b17b458dc640c64e98fd7ea9be2"	"1165"	"tracked-clean"	"tracked-clean"	"candidate-data-constraint"	"R11-X/D/A"	"mixed-external-box-count-query-candidate-and-loading-safety-behavior"	"Potential SUBLOT box-count contract mixed with ExpectedBasketCount and fail-closed loading behavior."	"Formed in 5718541; 493ac5a replaced scan fallback with blocking on failure, non-positive result or ambiguous capacity."	"not-found"	"not-found"	"not-found"	"not-found"	"not-approved-by-this-classification"	"candidate-only-after-separating-external-query-semantics-capacity-calculation-and-loading-safety-explicit-approval"	"Retain source SQL pointer, 2026-07-31 behavior change and absence of an independent run."	"R11-mes-data-query-validation-constraints.md; section=逐文件调查台账"
"R11-08"	"R11"	"mes/README.md"	"63d550a52f0aea953183ce4c3b5301ca533e42ab4fd07714a7918916379e1f0f"	"3342"	"tracked-clean"	"tracked-clean"	"template-or-index"	"R11-I"	"internal-mes-repository-governance-and-navigation"	"Current repository organization, QUERY_ID and SQL SSOT guidance; not a customer requirement."	"Formed in 5718541 as the MES material and execution entry point."	"not-found"	"not-found"	"not-found"	"not-found"	"not-approved-by-this-classification"	"do-not-extract-from-this-document"	"Retain the rule that factory passage requires imported return evidence, without treating it as approved acceptance authority."	"R11-mes-data-query-validation-constraints.md; section=逐文件调查台账"
"R11-09"	"R11"	"mes/reference/package-basket-capacity.csv"	"3214f6e849861de452c4132f0f733f20f657a9149dd05953ccc956deab766ece"	"3112"	"tracked-clean"	"tracked-clean"	"candidate-data-constraint"	"R11-X/A"	"unapproved-migrated-package-capacity-rule-table"	"Twenty-eight external-data candidates and one matching-failure behavior; coverage is incomplete and must not be called exhaustive."	"Formed in 5718541 as a stated 2026-07-16 customer-table migration without the original table or row reconciliation."	"not-found"	"not-found"	"not-found"	"not-found"	"not-approved-by-this-classification"	"candidate-only-after-row-level-capacity-match-type-scope-source-review-and-explicit-approval"	"Retain 27 exact/1 prefix identity, TOLL- ambiguity, source-table gap, unmatched PACKAGE evidence and CSV SSOT role."	"R11-mes-data-query-validation-constraints.md; section=逐文件调查台账"
"R11-10"	"R11"	"mes/reference/package-basket-capacity.md"	"af7b8c13b0371877bebd9f4e08eb695be1b6b2c9b9000c5836cf1a719a0ac586"	"3740"	"tracked-clean"	"tracked-clean"	"candidate-data-constraint"	"R11-I"	"generated-review-view-of-package-capacity-csv"	"Generated duplicate view of the CSV; not an independent rule source or approval record."	"Formed in 5718541 and derived wholly from package-basket-capacity.csv."	"not-found"	"not-found"	"not-found"	"not-found"	"not-approved-by-this-classification"	"do-not-extract-from-this-document"	"Preserve derivation and bind references to the CSV hash."	"R11-mes-data-query-validation-constraints.md; section=逐文件调查台账"
