"candidate_id"	"batch_id"	"source_record_id"	"source_path"	"source_sha256"	"exact_location"	"section_path"	"statement_text"	"source_context"	"statement_fingerprint"	"candidate_class"	"source_claim_status"	"applicable_scope"	"baseline_route"	"duplicate_or_derivation"	"conflict_pointer"	"approval_state"	"approval_gap"
"R06-A0001"	"R06"	"R06-01"	"requirement-documents/05-test-cases/02-slot-and-hardware/tc-042-dashboard-normal-display.md"	"8a85621b35c8e6c3da1aa338147f0417b9c89326780a0d2982ee1b80d8cd8961"	"line 17"	"TC-042 正常展示仓位状态与关联信息 > Preconditions 前置条件"	"本地服务器与数据库运行正常。"	"本地服务器与数据库运行正常。"	"baa8e897b024d4451f0f4d010989c80bef2a53a4f0d3f5379e64e3016dc4acdd"	"business-acceptance-precondition-candidate"	"unapproved-unexecuted-internal-derived-acceptance-draft"	"8005-slot-management-and-hardware-acceptance"	"needs-upstream-source-and-explicit-approval"	"document-route:R06-A; scenario:TC-042; scenario-role:precondition; upstream-fr:FR-015; upstream-uc:UC-011; formation-history:H3:ecd0fd8; FR-015 AC-1 / UC-011"	"none-found-within-r06-pass"	"not-approved"	"authoritative-upstream-version;named-approver;approval-date;approved-scope;version-or-sha256-binding;execution-build;execution-environment;executor;execution-time;actual-result;pass-fail;attachment-sha256"
"R06-A0002"	"R06"	"R06-01"	"requirement-documents/05-test-cases/02-slot-and-hardware/tc-042-dashboard-normal-display.md"	"8a85621b35c8e6c3da1aa338147f0417b9c89326780a0d2982ee1b80d8cd8961"	"line 21"	"TC-042 正常展示仓位状态与关联信息 > Test Steps 测试步骤"	"班组长/生产管理者打开仓位监控看板，或看板按周期/手动触发刷新。"	"班组长/生产管理者打开仓位监控看板，或看板按周期/手动触发刷新。"	"04f1626ba903cc8bad447fd35d2fdf612ca60d1fd68ba1b064c0725ce11d266d"	"operator-HMI-acceptance-candidate"	"unapproved-unexecuted-internal-derived-acceptance-draft"	"8005-slot-and-fleet-operator-HMI"	"needs-operator-product-owner-and-explicit-approval"	"document-route:R06-A; scenario:TC-042; scenario-role:action; upstream-fr:FR-015; upstream-uc:UC-011; formation-history:H3:ecd0fd8; FR-015 AC-1 / UC-011"	"none-found-within-r06-pass"	"not-approved"	"operator-or-product-owner;project-station-or-configuration-scope;authoritative-upstream-version;named-approver;approval-date;approved-scope;version-or-sha256-binding;execution-build;execution-environment;executor;execution-time;actual-result;pass-fail;attachment-sha256"
"R06-A0003"	"R06"	"R06-01"	"requirement-documents/05-test-cases/02-slot-and-hardware/tc-042-dashboard-normal-display.md"	"8a85621b35c8e6c3da1aa338147f0417b9c89326780a0d2982ee1b80d8cd8961"	"line 25"	"TC-042 正常展示仓位状态与关联信息 > Expected Result 预期结果"	"系统读取并展示各仓位状态（空闲/已占用/异常锁定）、仓门开关状态；"	"系统读取并展示各仓位状态（空闲/已占用/异常锁定）、仓门开关状态；若某仓位为""已占用""，同时展示其关联的子批号及搬运任务信息（任务号、目标/交货站点、任务当前状态），与本地数据库当前记录一致。"	"1bd6a01916b4726a75a0ad2e4f9a3f09f71d10af384a5b989527370a763ad064"	"safety-hardware-acceptance-candidate"	"unapproved-unexecuted-internal-derived-acceptance-draft"	"8005-slot-hardware-IO-safety-and-operability"	"needs-safety-hardware-authority-and-explicit-approval"	"document-route:R06-A; scenario:TC-042; scenario-role:outcome; upstream-fr:FR-015; upstream-uc:UC-011; formation-history:H3:ecd0fd8; FR-015 AC-1 / UC-011"	"none-found-within-r06-pass"	"not-approved"	"hardware-and-IO-version-binding;safety-or-hardware-owner;risk-review-evidence;authoritative-upstream-version;named-approver;approval-date;approved-scope;version-or-sha256-binding;execution-build;execution-environment;executor;execution-time;actual-result;pass-fail;attachment-sha256"
"R06-A0004"	"R06"	"R06-01"	"requirement-documents/05-test-cases/02-slot-and-hardware/tc-042-dashboard-normal-display.md"	"8a85621b35c8e6c3da1aa338147f0417b9c89326780a0d2982ee1b80d8cd8961"	"line 25"	"TC-042 正常展示仓位状态与关联信息 > Expected Result 预期结果"	"若某仓位为""已占用""，同时展示其关联的子批号及搬运任务信息（任务号、目标/交货站点、任务当前状态），与本地数据库当前记录一致。"	"系统读取并展示各仓位状态（空闲/已占用/异常锁定）、仓门开关状态；若某仓位为""已占用""，同时展示其关联的子批号及搬运任务信息（任务号、目标/交货站点、任务当前状态），与本地数据库当前记录一致。"	"703e3c6ba32967f664f1b3f426279728f73323f2e6fe1a2c14985a8d291cbeca"	"operator-HMI-acceptance-candidate"	"unapproved-unexecuted-internal-derived-acceptance-draft"	"8005-slot-and-fleet-operator-HMI"	"needs-operator-product-owner-and-explicit-approval"	"document-route:R06-A; scenario:TC-042; scenario-role:outcome; upstream-fr:FR-015; upstream-uc:UC-011; formation-history:H3:ecd0fd8; FR-015 AC-1 / UC-011"	"none-found-within-r06-pass"	"not-approved"	"operator-or-product-owner;project-station-or-configuration-scope;authoritative-upstream-version;named-approver;approval-date;approved-scope;version-or-sha256-binding;execution-build;execution-environment;executor;execution-time;actual-result;pass-fail;attachment-sha256"
"R06-A0005"	"R06"	"R06-01"	"requirement-documents/05-test-cases/02-slot-and-hardware/tc-042-dashboard-normal-display.md"	"8a85621b35c8e6c3da1aa338147f0417b9c89326780a0d2982ee1b80d8cd8961"	"line 29"	"TC-042 正常展示仓位状态与关联信息 > Verifies 验证对象"	"[[fr-015-slot-monitoring-dashboard-display-and-refresh|FR-015]] AC-1"	"[[fr-015-slot-monitoring-dashboard-display-and-refresh|FR-015]] AC-1"	"828fd856105be728bc3e713c3d21c9cad0056638ac989388c60b1859b7aee2f4"	"verification-traceability-evidence"	"unapproved-unexecuted-internal-derived-acceptance-draft"	"8005-slot-management-and-hardware-acceptance"	"evidence-only"	"document-route:R06-A; scenario:TC-042; scenario-role:verification; upstream-fr:FR-015; upstream-uc:UC-011; formation-history:H3:ecd0fd8; FR-015 AC-1 / UC-011"	"EX-R06-001"	"not-approved"	"authoritative-upstream-version;named-approver;approval-date;approved-scope;version-or-sha256-binding;execution-build;execution-environment;executor;execution-time;actual-result;pass-fail;attachment-sha256"
"R06-A0006"	"R06"	"R06-02"	"requirement-documents/05-test-cases/02-slot-and-hardware/tc-043-dashboard-refresh-failure-retain-old-data.md"	"ce5bd7e5c0b0b24c4b84e65b5291d85b5fe4c35d356998ec80eb44e0d584a4a3"	"line 17"	"TC-043 刷新时数据读取异常，保留旧数据并标注 > Preconditions 前置条件"	"看板已展示上一次成功读取到的数据。"	"看板已展示上一次成功读取到的数据。"	"fbfef59d904ef00b039fdc4c22839966cbb88cc9c091d7c6ad51dcac36655a72"	"operator-HMI-acceptance-candidate"	"unapproved-unexecuted-internal-derived-acceptance-draft"	"8005-slot-and-fleet-operator-HMI"	"needs-operator-product-owner-and-explicit-approval"	"document-route:R06-A; scenario:TC-043; scenario-role:precondition; upstream-fr:FR-015; upstream-uc:UC-011; formation-history:H3:ecd0fd8; FR-015 AC-2 / UC-011"	"none-found-within-r06-pass"	"not-approved"	"operator-or-product-owner;project-station-or-configuration-scope;authoritative-upstream-version;named-approver;approval-date;approved-scope;version-or-sha256-binding;execution-build;execution-environment;executor;execution-time;actual-result;pass-fail;attachment-sha256"
"R06-A0007"	"R06"	"R06-02"	"requirement-documents/05-test-cases/02-slot-and-hardware/tc-043-dashboard-refresh-failure-retain-old-data.md"	"ce5bd7e5c0b0b24c4b84e65b5291d85b5fe4c35d356998ec80eb44e0d584a4a3"	"line 21"	"TC-043 刷新时数据读取异常，保留旧数据并标注 > Test Steps 测试步骤"	"系统按周期或手动触发刷新时，读取本地数据库/服务发生异常。"	"系统按周期或手动触发刷新时，读取本地数据库/服务发生异常。"	"1b498ad6c4501f11a29ad9612b2fafdb665f2357ddbb1afa3bf8e1be864aefb2"	"business-acceptance-action-candidate"	"unapproved-unexecuted-internal-derived-acceptance-draft"	"8005-slot-management-and-hardware-acceptance"	"needs-upstream-source-and-explicit-approval"	"document-route:R06-A; scenario:TC-043; scenario-role:action; upstream-fr:FR-015; upstream-uc:UC-011; formation-history:H3:ecd0fd8; FR-015 AC-2 / UC-011"	"none-found-within-r06-pass"	"not-approved"	"authoritative-upstream-version;named-approver;approval-date;approved-scope;version-or-sha256-binding;execution-build;execution-environment;executor;execution-time;actual-result;pass-fail;attachment-sha256"
"R06-A0008"	"R06"	"R06-02"	"requirement-documents/05-test-cases/02-slot-and-hardware/tc-043-dashboard-refresh-failure-retain-old-data.md"	"ce5bd7e5c0b0b24c4b84e65b5291d85b5fe4c35d356998ec80eb44e0d584a4a3"	"line 25"	"TC-043 刷新时数据读取异常，保留旧数据并标注 > Expected Result 预期结果"	"系统提示""数据刷新失败，请稍后重试""，保留上一次成功读取到的数据，并标注该数据的最后刷新时间，不得与最新真实状态混淆；"	"系统提示""数据刷新失败，请稍后重试""，保留上一次成功读取到的数据，并标注该数据的最后刷新时间，不得与最新真实状态混淆；系统持续尝试重新读取。"	"e43b2a283656a80e9615d16f0ff60a947b63cbfd973f192a5912d50b2c5029d8"	"operator-HMI-acceptance-candidate"	"unapproved-unexecuted-internal-derived-acceptance-draft"	"8005-slot-and-fleet-operator-HMI"	"needs-operator-product-owner-and-explicit-approval"	"document-route:R06-A; scenario:TC-043; scenario-role:outcome; upstream-fr:FR-015; upstream-uc:UC-011; formation-history:H3:ecd0fd8; FR-015 AC-2 / UC-011"	"none-found-within-r06-pass"	"not-approved"	"operator-or-product-owner;project-station-or-configuration-scope;authoritative-upstream-version;named-approver;approval-date;approved-scope;version-or-sha256-binding;execution-build;execution-environment;executor;execution-time;actual-result;pass-fail;attachment-sha256"
"R06-A0009"	"R06"	"R06-02"	"requirement-documents/05-test-cases/02-slot-and-hardware/tc-043-dashboard-refresh-failure-retain-old-data.md"	"ce5bd7e5c0b0b24c4b84e65b5291d85b5fe4c35d356998ec80eb44e0d584a4a3"	"line 25"	"TC-043 刷新时数据读取异常，保留旧数据并标注 > Expected Result 预期结果"	"系统持续尝试重新读取。"	"系统提示""数据刷新失败，请稍后重试""，保留上一次成功读取到的数据，并标注该数据的最后刷新时间，不得与最新真实状态混淆；系统持续尝试重新读取。"	"0eccc1aa73b85a187d329b8000d4087d4764dba15aa1f5a6a734e50b27f144dc"	"business-acceptance-outcome-candidate"	"unapproved-unexecuted-internal-derived-acceptance-draft"	"8005-slot-management-and-hardware-acceptance"	"needs-upstream-source-and-explicit-approval"	"document-route:R06-A; scenario:TC-043; scenario-role:outcome; upstream-fr:FR-015; upstream-uc:UC-011; formation-history:H3:ecd0fd8; FR-015 AC-2 / UC-011"	"none-found-within-r06-pass"	"not-approved"	"authoritative-upstream-version;named-approver;approval-date;approved-scope;version-or-sha256-binding;execution-build;execution-environment;executor;execution-time;actual-result;pass-fail;attachment-sha256"
"R06-A0010"	"R06"	"R06-02"	"requirement-documents/05-test-cases/02-slot-and-hardware/tc-043-dashboard-refresh-failure-retain-old-data.md"	"ce5bd7e5c0b0b24c4b84e65b5291d85b5fe4c35d356998ec80eb44e0d584a4a3"	"line 29"	"TC-043 刷新时数据读取异常，保留旧数据并标注 > Verifies 验证对象"	"[[fr-015-slot-monitoring-dashboard-display-and-refresh|FR-015]] AC-2"	"[[fr-015-slot-monitoring-dashboard-display-and-refresh|FR-015]] AC-2"	"713d2760a9075417440ded6617e1df2b496d5ec4f8b467e23c7a8c964cff4b4c"	"verification-traceability-evidence"	"unapproved-unexecuted-internal-derived-acceptance-draft"	"8005-slot-management-and-hardware-acceptance"	"evidence-only"	"document-route:R06-A; scenario:TC-043; scenario-role:verification; upstream-fr:FR-015; upstream-uc:UC-011; formation-history:H3:ecd0fd8; FR-015 AC-2 / UC-011"	"EX-R06-001"	"not-approved"	"authoritative-upstream-version;named-approver;approval-date;approved-scope;version-or-sha256-binding;execution-build;execution-environment;executor;execution-time;actual-result;pass-fail;attachment-sha256"
"R06-A0011"	"R06"	"R06-07"	"requirement-documents/05-test-cases/02-slot-and-hardware/tc-048-unlock-test-pass-record-normal.md"	"1a6d1192220b267cbc857b9e93ab9d50d166a194996c58e3e67cf3b9f79abe17"	"line 17"	"TC-048 开锁测试通过，记录正常 > Preconditions 前置条件"	"车辆已在线获准进入配置维护态，整车无货且机构初始安全；"	"车辆已在线获准进入配置维护态，整车无货且机构初始安全；维护人员已选择目标仓位。"	"b25efa2e43d9edea0e0c2ca31323dbc3cc75e1f7f6f72858d79877a84efe62f4"	"identity-security-acceptance-candidate"	"unapproved-unexecuted-internal-derived-acceptance-draft"	"8005-fleet-maintenance-authorization-and-accountability"	"needs-security-role-owner-and-explicit-approval"	"document-route:R06-A; scenario:TC-048; scenario-role:precondition; upstream-fr:FR-017; upstream-uc:UC-015; formation-history:H3:ecd0fd8; FR-017 AC-1 / UC-015"	"none-found-within-r06-pass"	"not-approved"	"role-authorization-source;security-or-business-owner;authoritative-upstream-version;named-approver;approval-date;approved-scope;version-or-sha256-binding;execution-build;execution-environment;executor;execution-time;actual-result;pass-fail;attachment-sha256"
"R06-A0012"	"R06"	"R06-07"	"requirement-documents/05-test-cases/02-slot-and-hardware/tc-048-unlock-test-pass-record-normal.md"	"1a6d1192220b267cbc857b9e93ab9d50d166a194996c58e3e67cf3b9f79abe17"	"line 17"	"TC-048 开锁测试通过，记录正常 > Preconditions 前置条件"	"维护人员已选择目标仓位。"	"车辆已在线获准进入配置维护态，整车无货且机构初始安全；维护人员已选择目标仓位。"	"382fc03883f603e7c8c48ec86403c13a6e83808c3084915979165f28125be1bc"	"business-acceptance-precondition-candidate"	"unapproved-unexecuted-internal-derived-acceptance-draft"	"8005-slot-management-and-hardware-acceptance"	"needs-upstream-source-and-explicit-approval"	"document-route:R06-A; scenario:TC-048; scenario-role:precondition; upstream-fr:FR-017; upstream-uc:UC-015; formation-history:H3:ecd0fd8; FR-017 AC-1 / UC-015"	"none-found-within-r06-pass"	"not-approved"	"authoritative-upstream-version;named-approver;approval-date;approved-scope;version-or-sha256-binding;execution-build;execution-environment;executor;execution-time;actual-result;pass-fail;attachment-sha256"
