"candidate_id"	"batch_id"	"source_record_id"	"source_path"	"source_sha256"	"exact_location"	"section_path"	"statement_text"	"source_context"	"statement_fingerprint"	"candidate_class"	"source_claim_status"	"applicable_scope"	"baseline_route"	"duplicate_or_derivation"	"conflict_pointer"	"approval_state"	"approval_gap"
"R04-A0001"	"R04"	"R04-01"	"requirement-documents/04-functional-requirements/01-site-operations/fr-001-sublot-task-validity-and-dispatch-range-check.md"	"a63fc423be3877da04b4c116938f4a92813d5f0fe28070c67237dc8dc0e09379"	"line 23"	"FR-001 Sublot Task Validity and Dispatch Range Check 子批号任务有效性与派车范围核验 > Description 需求描述"	"系统应当在站点装载流程中，根据操作员扫描或手动输入的子批号（SUBLOT），核验本地是否存在对应的、尚未完成且未被取消的搬运任务，并进一步核验该任务是否属于本次 AGV 派车所关联的任务范围（按 [[br-001-dispatch-task-range|BR-001]] 定义）。"	"系统应当在站点装载流程中，根据操作员扫描或手动输入的子批号（SUBLOT），核验本地是否存在对应的、尚未完成且未被取消的搬运任务，并进一步核验该任务是否属于本次 AGV 派车所关联的任务范围（按 [[br-001-dispatch-task-range|BR-001]] 定义）。任一项核验失败时，系统必须拒绝继续分配仓位与开锁，并向操作员给出明确失败原因。"	"ccdb13289b82ab74f4d8cfb2e9ea5a119ed711012dde7585182bad905b312927"	"derived-functional-behavior-candidate"	"unapproved-internal-derived-functional-requirement"	"8005-site-operation-and-stop-closure"	"needs-upstream-source-and-explicit-approval"	"document-route:R04-C; upstream-uc:UC-001; upstream-br:BR-001; related-fr:FR-002; related-nfr:NFR-001,NFR-002; [FR-001](../../../../requirement-documents/04-functional-requirements/01-site-operations/fr-001-sublot-task-validity-and-dispatch-range-check.md) `a63fc423be38`；`ec`; Origin: UC-001 + BR-001"	"none-found-within-r04-pass"	"not-approved"	"authoritative-upstream-version;named-approver;approval-date;approved-scope;version-or-sha256-binding"
"R04-A0002"	"R04"	"R04-01"	"requirement-documents/04-functional-requirements/01-site-operations/fr-001-sublot-task-validity-and-dispatch-range-check.md"	"a63fc423be3877da04b4c116938f4a92813d5f0fe28070c67237dc8dc0e09379"	"line 23"	"FR-001 Sublot Task Validity and Dispatch Range Check 子批号任务有效性与派车范围核验 > Description 需求描述"	"任一项核验失败时，系统必须拒绝继续分配仓位与开锁，并向操作员给出明确失败原因。"	"系统应当在站点装载流程中，根据操作员扫描或手动输入的子批号（SUBLOT），核验本地是否存在对应的、尚未完成且未被取消的搬运任务，并进一步核验该任务是否属于本次 AGV 派车所关联的任务范围（按 [[br-001-dispatch-task-range|BR-001]] 定义）。任一项核验失败时，系统必须拒绝继续分配仓位与开锁，并向操作员给出明确失败原因。"	"646dc08f15997d22c93c2d47da51e8556be50c22b3b6342d19714fc1bc351b71"	"functional-error-handling-candidate"	"unapproved-internal-derived-functional-requirement"	"8005-site-operation-and-stop-closure"	"needs-upstream-source-and-explicit-approval"	"document-route:R04-C; upstream-uc:UC-001; upstream-br:BR-001; related-fr:FR-002; related-nfr:NFR-001,NFR-002; [FR-001](../../../../requirement-documents/04-functional-requirements/01-site-operations/fr-001-sublot-task-validity-and-dispatch-range-check.md) `a63fc423be38`；`ec`; Origin: UC-001 + BR-001"	"none-found-within-r04-pass"	"not-approved"	"authoritative-upstream-version;named-approver;approval-date;approved-scope;version-or-sha256-binding"
"R04-A0003"	"R04"	"R04-01"	"requirement-documents/04-functional-requirements/01-site-operations/fr-001-sublot-task-validity-and-dispatch-range-check.md"	"a63fc423be3877da04b4c116938f4a92813d5f0fe28070c67237dc8dc0e09379"	"line 27"	"FR-001 Sublot Task Validity and Dispatch Range Check 子批号任务有效性与派车范围核验 > Rationale 制定原因"	"防止错装、跨派车范围装载导致错送/混料；"	"防止错装、跨派车范围装载导致错送/混料；将 [[uc-001-load-completed-lot-into-slot|UC-001]] 中 1.1 / 1.2 系统核验点落实为可单独验收的系统能力，并强制执行 BR-001 的派车范围硬约束。"	"85d8f37b9e73ad2f3c5c1d345c04fb7bfa01178443293c41ce71d7c823d54d96"	"internal-rationale-evidence"	"unapproved-internal-derived-functional-requirement"	"8005-site-operation-and-stop-closure"	"evidence-only"	"document-route:R04-C; upstream-uc:UC-001; upstream-br:BR-001; related-fr:FR-002; related-nfr:NFR-001,NFR-002; [FR-001](../../../../requirement-documents/04-functional-requirements/01-site-operations/fr-001-sublot-task-validity-and-dispatch-range-check.md) `a63fc423be38`；`ec`; Origin: UC-001 + BR-001"	"none-found-within-r04-pass"	"not-approved"	"authoritative-upstream-version;named-approver;approval-date;approved-scope;version-or-sha256-binding"
"R04-A0004"	"R04"	"R04-01"	"requirement-documents/04-functional-requirements/01-site-operations/fr-001-sublot-task-validity-and-dispatch-range-check.md"	"a63fc423be3877da04b4c116938f4a92813d5f0fe28070c67237dc8dc0e09379"	"line 27"	"FR-001 Sublot Task Validity and Dispatch Range Check 子批号任务有效性与派车范围核验 > Rationale 制定原因"	"将 [[uc-001-load-completed-lot-into-slot|UC-001]] 中 1.1 / 1.2 系统核验点落实为可单独验收的系统能力，并强制执行 BR-001 的派车范围硬约束。"	"防止错装、跨派车范围装载导致错送/混料；将 [[uc-001-load-completed-lot-into-slot|UC-001]] 中 1.1 / 1.2 系统核验点落实为可单独验收的系统能力，并强制执行 BR-001 的派车范围硬约束。"	"0bf2d4b0cc44ef99ad3592f0762b5c91b0764f0b74fa94790e156877126d6464"	"internal-rationale-evidence"	"unapproved-internal-derived-functional-requirement"	"8005-site-operation-and-stop-closure"	"evidence-only"	"document-route:R04-C; upstream-uc:UC-001; upstream-br:BR-001; related-fr:FR-002; related-nfr:NFR-001,NFR-002; [FR-001](../../../../requirement-documents/04-functional-requirements/01-site-operations/fr-001-sublot-task-validity-and-dispatch-range-check.md) `a63fc423be38`；`ec`; Origin: UC-001 + BR-001"	"none-found-within-r04-pass"	"not-approved"	"authoritative-upstream-version;named-approver;approval-date;approved-scope;version-or-sha256-binding"
"R04-A0005"	"R04"	"R04-01"	"requirement-documents/04-functional-requirements/01-site-operations/fr-001-sublot-task-validity-and-dispatch-range-check.md"	"a63fc423be3877da04b4c116938f4a92813d5f0fe28070c67237dc8dc0e09379"	"line 31"	"FR-001 Sublot Task Validity and Dispatch Range Check 子批号任务有效性与派车范围核验 > Origin 需求来源"	"[[uc-001-load-completed-lot-into-slot|UC-001]] Normal Flow 1.1、1.2 及 Exception Flow E1.1、E1.2"	"[[uc-001-load-completed-lot-into-slot|UC-001]] Normal Flow 1.1、1.2 及 Exception Flow E1.1、E1.2"	"2ea5072169e904cf677e9fdc9ce078f0b25bc78bf8ec87ecbf43a2946adf73f7"	"upstream-traceability-evidence"	"unapproved-internal-derived-functional-requirement"	"8005-site-operation-and-stop-closure"	"evidence-only"	"document-route:R04-C; upstream-uc:UC-001; upstream-br:BR-001; related-fr:FR-002; related-nfr:NFR-001,NFR-002; [FR-001](../../../../requirement-documents/04-functional-requirements/01-site-operations/fr-001-sublot-task-validity-and-dispatch-range-check.md) `a63fc423be38`；`ec`; Origin: UC-001 + BR-001"	"none-found-within-r04-pass"	"not-approved"	"authoritative-upstream-version;named-approver;approval-date;approved-scope;version-or-sha256-binding"
"R04-A0006"	"R04"	"R04-01"	"requirement-documents/04-functional-requirements/01-site-operations/fr-001-sublot-task-validity-and-dispatch-range-check.md"	"a63fc423be3877da04b4c116938f4a92813d5f0fe28070c67237dc8dc0e09379"	"line 32"	"FR-001 Sublot Task Validity and Dispatch Range Check 子批号任务有效性与派车范围核验 > Origin 需求来源"	"[[br-001-dispatch-task-range|BR-001]]（本次派车任务范围的生成与判定）"	"[[br-001-dispatch-task-range|BR-001]]（本次派车任务范围的生成与判定）"	"5b1d1e74fddf4c46ac38314bf2318af18290d31060606b0d8f5ff7fd0fae57a5"	"upstream-traceability-evidence"	"unapproved-internal-derived-functional-requirement"	"8005-site-operation-and-stop-closure"	"evidence-only"	"document-route:R04-C; upstream-uc:UC-001; upstream-br:BR-001; related-fr:FR-002; related-nfr:NFR-001,NFR-002; [FR-001](../../../../requirement-documents/04-functional-requirements/01-site-operations/fr-001-sublot-task-validity-and-dispatch-range-check.md) `a63fc423be38`；`ec`; Origin: UC-001 + BR-001"	"none-found-within-r04-pass"	"not-approved"	"authoritative-upstream-version;named-approver;approval-date;approved-scope;version-or-sha256-binding"
"R04-A0007"	"R04"	"R04-01"	"requirement-documents/04-functional-requirements/01-site-operations/fr-001-sublot-task-validity-and-dispatch-range-check.md"	"a63fc423be3877da04b4c116938f4a92813d5f0fe28070c67237dc8dc0e09379"	"line 36"	"FR-001 Sublot Task Validity and Dispatch Range Check 子批号任务有效性与派车范围核验 > Acceptance Criteria 验收标准"	"**AC-1（任务存在且有效）**"	"**AC-1（任务存在且有效）**"	"1176e02b30da799a5d06d0279f53947d4337640964c0bd02a0052ea1906de5a7"	"acceptance-criterion-locator-evidence"	"unapproved-internal-derived-functional-requirement"	"8005-site-operation-and-stop-closure"	"evidence-only"	"document-route:R04-C; upstream-uc:UC-001; upstream-br:BR-001; related-fr:FR-002; related-nfr:NFR-001,NFR-002; [FR-001](../../../../requirement-documents/04-functional-requirements/01-site-operations/fr-001-sublot-task-validity-and-dispatch-range-check.md) `a63fc423be38`；`ec`; Origin: UC-001 + BR-001"	"none-found-within-r04-pass"	"not-approved"	"authoritative-upstream-version;named-approver;approval-date;approved-scope;version-or-sha256-binding"
"R04-A0008"	"R04"	"R04-01"	"requirement-documents/04-functional-requirements/01-site-operations/fr-001-sublot-task-validity-and-dispatch-range-check.md"	"a63fc423be3877da04b4c116938f4a92813d5f0fe28070c67237dc8dc0e09379"	"line 37"	"FR-001 Sublot Task Validity and Dispatch Range Check 子批号任务有效性与派车范围核验 > Acceptance Criteria 验收标准"	"**Given** 本地数据库中存在子批号 S 对应的搬运任务，且状态既非 Done 也非 Cancelled；"	"**Given** 本地数据库中存在子批号 S 对应的搬运任务，且状态既非 Done 也非 Cancelled；操作员已建立有效到站操作会话"	"fa929b2f2ec70c195534d17d3e16499966daba62ac16c799b4d30d32653e2f48"	"functional-state-transition-candidate"	"unapproved-internal-derived-functional-requirement"	"8005-site-operation-and-stop-closure"	"needs-upstream-source-and-explicit-approval"	"document-route:R04-C; upstream-uc:UC-001; upstream-br:BR-001; related-fr:FR-002; related-nfr:NFR-001,NFR-002; [FR-001](../../../../requirement-documents/04-functional-requirements/01-site-operations/fr-001-sublot-task-validity-and-dispatch-range-check.md) `a63fc423be38`；`ec`; Origin: UC-001 + BR-001"	"none-found-within-r04-pass"	"not-approved"	"authoritative-upstream-version;named-approver;approval-date;approved-scope;version-or-sha256-binding"
"R04-A0009"	"R04"	"R04-01"	"requirement-documents/04-functional-requirements/01-site-operations/fr-001-sublot-task-validity-and-dispatch-range-check.md"	"a63fc423be3877da04b4c116938f4a92813d5f0fe28070c67237dc8dc0e09379"	"line 37"	"FR-001 Sublot Task Validity and Dispatch Range Check 子批号任务有效性与派车范围核验 > Acceptance Criteria 验收标准"	"操作员已建立有效到站操作会话"	"**Given** 本地数据库中存在子批号 S 对应的搬运任务，且状态既非 Done 也非 Cancelled；操作员已建立有效到站操作会话"	"5d73eb54aa677f635dd621791524d1e1934d441a5a53a5697ab85f721ed0c0f4"	"acceptance-condition-candidate"	"unapproved-internal-derived-functional-requirement"	"8005-site-operation-and-stop-closure"	"needs-upstream-source-and-explicit-approval"	"document-route:R04-C; upstream-uc:UC-001; upstream-br:BR-001; related-fr:FR-002; related-nfr:NFR-001,NFR-002; [FR-001](../../../../requirement-documents/04-functional-requirements/01-site-operations/fr-001-sublot-task-validity-and-dispatch-range-check.md) `a63fc423be38`；`ec`; Origin: UC-001 + BR-001"	"none-found-within-r04-pass"	"not-approved"	"authoritative-upstream-version;named-approver;approval-date;approved-scope;version-or-sha256-binding"
"R04-A0010"	"R04"	"R04-01"	"requirement-documents/04-functional-requirements/01-site-operations/fr-001-sublot-task-validity-and-dispatch-range-check.md"	"a63fc423be3877da04b4c116938f4a92813d5f0fe28070c67237dc8dc0e09379"	"line 38"	"FR-001 Sublot Task Validity and Dispatch Range Check 子批号任务有效性与派车范围核验 > Acceptance Criteria 验收标准"	"**When** 操作员扫描或手动输入子批号 S"	"**When** 操作员扫描或手动输入子批号 S"	"615e47281f12bf95a6244ab64dee26d9ace26e2591633be8d12a74bb31368bab"	"acceptance-trigger-candidate"	"unapproved-internal-derived-functional-requirement"	"8005-site-operation-and-stop-closure"	"needs-upstream-source-and-explicit-approval"	"document-route:R04-C; upstream-uc:UC-001; upstream-br:BR-001; related-fr:FR-002; related-nfr:NFR-001,NFR-002; [FR-001](../../../../requirement-documents/04-functional-requirements/01-site-operations/fr-001-sublot-task-validity-and-dispatch-range-check.md) `a63fc423be38`；`ec`; Origin: UC-001 + BR-001"	"none-found-within-r04-pass"	"not-approved"	"authoritative-upstream-version;named-approver;approval-date;approved-scope;version-or-sha256-binding"
