"path"	"git_status"	"sha256"	"bytes"	"last_write_utc"	"material_role"	"batch_id"	"batch_title"	"follow_up_ticket"	"route_reason"
".agents/skills/ask-matt/agents/openai.yaml"	"tracked-clean"	"d30cfa5b0e84e2ca10b8d263b9dfcc13c3aa089ae6bc26096bc549fc037d274e"	"142"	"2026-07-23T01:18:07.2052862Z"	"repository-governance"	"G01"	"仓库代理、流程与工具元数据"	"no"	"代理技能与配置，不是项目系统需求。"
".agents/skills/ask-matt/SKILL.md"	"tracked-clean"	"a0f30d3072de6121353cd513f1b6bedd526d0a296edd9cddefae5b3f27f367b2"	"8334"	"2026-07-23T01:18:07.2042878Z"	"repository-governance"	"G01"	"仓库代理、流程与工具元数据"	"no"	"代理技能与配置，不是项目系统需求。"
".agents/skills/code-review/agents/openai.yaml"	"tracked-clean"	"3f72329747a916ac8ab2b4004490c79e1be6774a8a83e5b258d6ddc7e866abfe"	"103"	"2026-07-23T01:18:07.2097000Z"	"repository-governance"	"G01"	"仓库代理、流程与工具元数据"	"no"	"代理技能与配置，不是项目系统需求。"
".agents/skills/code-review/SKILL.md"	"tracked-clean"	"e5507100ac01a04d082ac23ac6311d0fec8699d1ab00c599db7064039b819f63"	"6829"	"2026-07-23T01:18:07.2080377Z"	"repository-governance"	"G01"	"仓库代理、流程与工具元数据"	"no"	"代理技能与配置，不是项目系统需求。"
".agents/skills/codebase-design/agents/openai.yaml"	"tracked-clean"	"967df5c80a2a00e8fea9ce0e7914fb57114c93d16baa3b7743347a4dfeed61fc"	"105"	"2026-07-23T01:18:07.2130534Z"	"repository-governance"	"G01"	"仓库代理、流程与工具元数据"	"no"	"代理技能与配置，不是项目系统需求。"
".agents/skills/codebase-design/DEEPENING.md"	"tracked-clean"	"793b7704484b704e1b5f93aac197a5758018e838afdb8bcb08ad6465960586dc"	"2596"	"2026-07-23T01:18:07.2108155Z"	"repository-governance"	"G01"	"仓库代理、流程与工具元数据"	"no"	"代理技能与配置，不是项目系统需求。"
".agents/skills/codebase-design/DESIGN-IT-TWICE.md"	"tracked-clean"	"578a9a67c20fda10a7e5442e2208d0e5cf68601d012b0ecd6469e651100a308f"	"2756"	"2026-07-23T01:18:07.2113621Z"	"repository-governance"	"G01"	"仓库代理、流程与工具元数据"	"no"	"代理技能与配置，不是项目系统需求。"
".agents/skills/codebase-design/SKILL.md"	"tracked-clean"	"22d3815e5629ddea7ed7c9f8e7c330f6a1559466ee904e58371e1e8a10be0c4b"	"6602"	"2026-07-23T01:18:07.2119276Z"	"repository-governance"	"G01"	"仓库代理、流程与工具元数据"	"no"	"代理技能与配置，不是项目系统需求。"
".agents/skills/diagnosing-bugs/agents/openai.yaml"	"tracked-clean"	"167ab1659754b8c53706ecca7502ccc7fb219ff14f0c36bfb1db05ae31a8ac58"	"106"	"2026-07-23T01:18:07.2158438Z"	"repository-governance"	"G01"	"仓库代理、流程与工具元数据"	"no"	"代理技能与配置，不是项目系统需求。"
".agents/skills/diagnosing-bugs/SKILL.md"	"tracked-clean"	"3dfe5ec16b89a01dbc1bf606a1a1cfc32349e225f3bb75a3fb86117974a83cb8"	"8670"	"2026-07-23T01:18:07.2147530Z"	"repository-governance"	"G01"	"仓库代理、流程与工具元数据"	"no"	"代理技能与配置，不是项目系统需求。"
".agents/skills/domain-modeling/ADR-FORMAT.md"	"tracked-clean"	"dba54707c3251660ecf7ee6ff154a816a62badddd4ef403062f3a34e23509636"	"2813"	"2026-07-23T01:18:07.2174742Z"	"repository-governance"	"G01"	"仓库代理、流程与工具元数据"	"no"	"代理技能与配置，不是项目系统需求。"
".agents/skills/domain-modeling/agents/openai.yaml"	"tracked-clean"	"ce496c77c77a090877bff10f198c9770fb52e23088351350ea0826380f948ff8"	"104"	"2026-07-23T01:18:07.2201605Z"	"repository-governance"	"G01"	"仓库代理、流程与工具元数据"	"no"	"代理技能与配置，不是项目系统需求。"
".agents/skills/domain-modeling/CONTEXT-FORMAT.md"	"tracked-clean"	"f229cd8485b77ea76428ffb807058ebd1d254a391b9669b10081942d3d6e8dd3"	"2359"	"2026-07-23T01:18:07.2180369Z"	"repository-governance"	"G01"	"仓库代理、流程与工具元数据"	"no"	"代理技能与配置，不是项目系统需求。"
".agents/skills/domain-modeling/SKILL.md"	"tracked-clean"	"004d5cb6258658f2e9cbf0d9f90bdc9104f8b83bd296556783800c31d503814f"	"3501"	"2026-07-23T01:18:07.2185901Z"	"repository-governance"	"G01"	"仓库代理、流程与工具元数据"	"no"	"代理技能与配置，不是项目系统需求。"
".agents/skills/grill-me/agents/openai.yaml"	"tracked-clean"	"c03a1eee1161bb70ca360b3d17705638b93bc8eec41319732725dc05a53196a5"	"142"	"2026-07-23T01:18:07.3182826Z"	"repository-governance"	"G01"	"仓库代理、流程与工具元数据"	"no"	"代理技能与配置，不是项目系统需求。"
".agents/skills/grill-me/SKILL.md"	"tracked-clean"	"9c71927d4f0fd32d815247b4ca1fc782d4c5f2f3c1d6d023d188d4a7e0299b21"	"154"	"2026-07-23T01:18:07.3164955Z"	"repository-governance"	"G01"	"仓库代理、流程与工具元数据"	"no"	"代理技能与配置，不是项目系统需求。"
".agents/skills/grill-with-docs/agents/openai.yaml"	"tracked-clean"	"81e6af95559517a292767439da8f46a468b4d88a6773a3316d511a428eb16ff3"	"150"	"2026-07-23T01:18:07.2211527Z"	"repository-governance"	"G01"	"仓库代理、流程与工具元数据"	"no"	"代理技能与配置，不是项目系统需求。"
".agents/skills/grill-with-docs/SKILL.md"	"tracked-clean"	"269376d5146332f597c4194fa1adef93b879ad62e0183c0d111a447e7af51be9"	"252"	"2026-07-23T01:18:07.2201605Z"	"repository-governance"	"G01"	"仓库代理、流程与工具元数据"	"no"	"代理技能与配置，不是项目系统需求。"
".agents/skills/grilling/agents/openai.yaml"	"tracked-clean"	"60f3a1acc6f78b9a9ead86413e874db907b7b4214690c56c4c88dacbbe2a5583"	"108"	"2026-07-23T01:18:07.3202964Z"	"repository-governance"	"G01"	"仓库代理、流程与工具元数据"	"no"	"代理技能与配置，不是项目系统需求。"
".agents/skills/grilling/SKILL.md"	"tracked-clean"	"74b36ef0c3c5402681cf821ca20bedb1b62cc970ae1abbab5dbafe767ad27bd7"	"855"	"2026-07-23T01:18:07.3192940Z"	"repository-governance"	"G01"	"仓库代理、流程与工具元数据"	"no"	"代理技能与配置，不是项目系统需求。"
".agents/skills/handoff/agents/openai.yaml"	"tracked-clean"	"deb645c801764579994bd23d1954aa991ef1d0d55bf30043d47ada631fcff5f4"	"146"	"2026-07-23T01:18:07.3227600Z"	"repository-governance"	"G01"	"仓库代理、流程与工具元数据"	"no"	"代理技能与配置，不是项目系统需求。"
".agents/skills/handoff/SKILL.md"	"tracked-clean"	"65e80725923677f128b1d3cf23397b4bf0cc8659cd408aaee5ab285d01aa54af"	"895"	"2026-07-23T01:18:07.3212947Z"	"repository-governance"	"G01"	"仓库代理、流程与工具元数据"	"no"	"代理技能与配置，不是项目系统需求。"
".agents/skills/implement/agents/openai.yaml"	"tracked-clean"	"8494f83602c58f8ab33d047d0516cdb90b8c29e6d564de0cef810daaca378bcb"	"144"	"2026-07-23T01:18:07.2241531Z"	"repository-governance"	"G01"	"仓库代理、流程与工具元数据"	"no"	"代理技能与配置，不是项目系统需求。"
".agents/skills/implement/SKILL.md"	"tracked-clean"	"30cd7bc1ebfb3891e85a1eed3b3b81aea0fa4ad4553a784de7f8e421b2d223e0"	"448"	"2026-07-23T01:18:07.2221550Z"	"repository-governance"	"G01"	"仓库代理、流程与工具元数据"	"no"	"代理技能与配置，不是项目系统需求。"
".agents/skills/improve-codebase-architecture/agents/openai.yaml"	"tracked-clean"	"6b69701fc3f4f31ec626c1ae5c090dc5c640fab147a63be81b575c2f9c5231fa"	"171"	"2026-07-23T01:18:07.2261484Z"	"repository-governance"	"G01"	"仓库代理、流程与工具元数据"	"no"	"代理技能与配置，不是项目系统需求。"
".agents/skills/improve-codebase-architecture/HTML-REPORT.md"	"tracked-clean"	"a1b8f23e710e68c2bba04edc4c6b9001a08af7bdebb8bc01c6964e76c9ba4855"	"6808"	"2026-07-23T01:18:07.2251504Z"	"repository-governance"	"G01"	"仓库代理、流程与工具元数据"	"no"	"代理技能与配置，不是项目系统需求。"
".agents/skills/improve-codebase-architecture/SKILL.md"	"tracked-clean"	"411f295e0bf467fa46e8d8fc6ae3742135a5647380a5f9512c339c9fddb3cb17"	"6110"	"2026-07-23T01:18:07.2251504Z"	"repository-governance"	"G01"	"仓库代理、流程与工具元数据"	"no"	"代理技能与配置，不是项目系统需求。"
".agents/skills/prototype/agents/openai.yaml"	"tracked-clean"	"cc1ce1ceaba1442c431dc76abb84b271ad72ecb94dcefee53130df742dc11787"	"103"	"2026-07-23T01:18:07.2291495Z"	"repository-governance"	"G01"	"仓库代理、流程与工具元数据"	"no"	"代理技能与配置，不是项目系统需求。"
".agents/skills/prototype/LOGIC.md"	"tracked-clean"	"057fc507d7c93f8df10f54d98dcd76cc577b9ab6ce108a49f3ed3d56dd853b98"	"5716"	"2026-07-23T01:18:07.2271524Z"	"repository-governance"	"G01"	"仓库代理、流程与工具元数据"	"no"	"代理技能与配置，不是项目系统需求。"
".agents/skills/prototype/SKILL.md"	"tracked-clean"	"c2a9cc5492e99b4fabe047de8aef02765e241ab77b19db44a3664d385ec881bd"	"2825"	"2026-07-23T01:18:07.2281513Z"	"repository-governance"	"G01"	"仓库代理、流程与工具元数据"	"no"	"代理技能与配置，不是项目系统需求。"
".agents/skills/prototype/UI.md"	"tracked-clean"	"d54a5eea3c823429fa617c13b11663c72fff6b246cd5be1f02ff0e2b73eb052c"	"7071"	"2026-07-23T01:18:07.2281513Z"	"repository-governance"	"G01"	"仓库代理、流程与工具元数据"	"no"	"代理技能与配置，不是项目系统需求。"
".agents/skills/research/agents/openai.yaml"	"tracked-clean"	"73840328dfa6b689d81ee645d8aaf8570a0cc44d64a32b119ea6091d2828d412"	"97"	"2026-07-23T01:18:07.2311577Z"	"repository-governance"	"G01"	"仓库代理、流程与工具元数据"	"no"	"代理技能与配置，不是项目系统需求。"
".agents/skills/research/SKILL.md"	"tracked-clean"	"0b6597c453178536b50c044a9e57cbc32dbffa47607a370e40768332f54bf8c2"	"811"	"2026-07-23T01:18:07.2301563Z"	"repository-governance"	"G01"	"仓库代理、流程与工具元数据"	"no"	"代理技能与配置，不是项目系统需求。"
".agents/skills/resolving-merge-conflicts/agents/openai.yaml"	"tracked-clean"	"ad953099f6df6fe1b1e6e395ce38dfab3eb3a4e37461cfb318b0e81a32a35b4b"	"116"	"2026-07-23T01:18:07.2331555Z"	"repository-governance"	"G01"	"仓库代理、流程与工具元数据"	"no"	"代理技能与配置，不是项目系统需求。"
".agents/skills/resolving-merge-conflicts/SKILL.md"	"tracked-clean"	"726cc35e566c3fc7e2d648aa580383b40460ecf99c17448c0282c705c0c5bc1d"	"935"	"2026-07-23T01:18:07.2321556Z"	"repository-governance"	"G01"	"仓库代理、流程与工具元数据"	"no"	"代理技能与配置，不是项目系统需求。"
".agents/skills/setup-matt-pocock-skills/agents/openai.yaml"	"tracked-clean"	"53d0bf3786862a1cb5013ca78f12013b166d0819823dae0d3f9eb13eee2acdf2"	"157"	"2026-07-23T01:18:07.2351574Z"	"repository-governance"	"G01"	"仓库代理、流程与工具元数据"	"no"	"代理技能与配置，不是项目系统需求。"
".agents/skills/setup-matt-pocock-skills/domain.md"	"tracked-clean"	"f39269422d1a1c137b53b81cb120570f52d54d1823a5005ec685f4458f3437dd"	"2096"	"2026-07-23T01:18:07.2351574Z"	"repository-governance"	"G01"	"仓库代理、流程与工具元数据"	"no"	"代理技能与配置，不是项目系统需求。"
